_id,Name,Description,Price,StockQuantity,name,price,updatedAt,__v
662ff46f4c6fc5e1e2f63908,Bohemian Beaded Anklet,Bohemian-style anklet adorned with colorful beads and charms.,25,18,aya,,,
662ff46f4c6fc5e1e2f63909,Minimalist Gold Bangle,Simple and elegant gold bangle for everyday wear.,45,25,jolie,,,
662ff46f4c6fc5e1e2f6390a,Natural Stone Pendant Necklace,Necklace featuring a natural stone pendant on a delicate chain.,55,8,,,,
662ff46f4c6fc5e1e2f6390b,Vintage Pearl Brooch,Vintage-style pearl brooch perfect for adding a touch of elegance to any outfit.,60,10,,,,
662ff46f4c6fc5e1e2f6390c,Handmade Leather Bracelet,Handmade leather bracelet with adjustable closure.,20,30,,,,
662ff46f4c6fc5e1e2f6390d,Boho Feather Earrings,Bohemian-style feather earrings with intricate details.,28,22,,,,
662ff46f4c6fc5e1e2f6390e,Enamel Flower Ring,Colorful enamel flower ring with a whimsical design.,32,15,,,,
662ff46f4c6fc5e1e2f6390f,Wire Wrapped Pendant,Wire-wrapped pendant featuring a polished gemstone.,38,18,,,,
662ff46f4c6fc5e1e2f63910,Crystal Quartz Necklace,Quartz crystal necklace with healing properties.,42,12,,,,
662ff46f4c6fc5e1e2f63911,Art Deco Cuff Bracelet,Art Deco-inspired cuff bracelet with geometric patterns.,48,20,,,,
662ff46f4c6fc5e1e2f63912,Bohemian Tassel Necklace,Bohemian-style necklace with colorful tassel accents.,36,14,,,,
662ff46f4c6fc5e1e2f63913,Statement Chandelier Earrings,Dazzling chandelier earrings that make a bold statement.,65,10,,,,
662ff46f4c6fc5e1e2f63914,Hand Stamped Personalized Necklace,Customizable hand-stamped necklace with initials or a name.,50,15,,,,
662ff46f4c6fc5e1e2f63915,Boho Turquoise Ring,Bohemian-style turquoise ring with intricate silver detailing.,30,18,,,,
662ff46f4c6fc5e1e2f63916,Minimalist Bar Stud Earrings,Simple bar-shaped stud earrings for a minimalist look.,22,25,,,,
662ff46f4c6fc5e1e2f63917,Layered Charm Bracelet,Charm bracelet featuring multiple layers and eclectic charms.,40,20,,,,
662ff46f4c6fc5e1e2f63918,Artisanal Ceramic Necklace,Handcrafted ceramic necklace with earthy tones.,45,12,,,,
662ff46f4c6fc5e1e2f63919,Boho Fringe Earrings,Bohemian-style earrings with playful fringe accents.,28,20,,,,
662ff46f4c6fc5e1e2f6391a,Stackable Gemstone Rings Set,Set of stackable rings featuring different colored gemstones.,55,15,,,,
662ff46f4c6fc5e1e2f6391b,Wire Wrapped Tree of Life Pendant,Wire-wrapped pendant featuring the Tree of Life symbol.,35,18,,,,
662ff46f4c6fc5e1e2f6391c,Retro Statement Necklace,Retro-inspired statement necklace with bold colors.,60,10,,,,
662ff46f4c6fc5e1e2f6391d,Boho Shell Anklet,Bohemian-style anklet adorned with natural shell charms.,25,22,,,,
662ff46f4c6fc5e1e2f6391e,Vintage Cameo Brooch,Vintage-style cameo brooch with intricate detailing.,48,12,,,,
662ff46f4c6fc5e1e2f6391f,Minimalist Geometric Necklace,Simple geometric necklace for a modern look.,32,20,,,,
662ff46f4c6fc5e1e2f63920,Handmade Macrame Bracelet,Handmade macrame bracelet with adjustable closure.,18,30,,,,
662ff46f4c6fc5e1e2f63921,Boho Dreamcatcher Earrings,Bohemian-style dreamcatcher earrings with feather accents.,30,25,,,,
662ff46f4c6fc5e1e2f63922,Engraved Name Bar Necklace,Necklace with a customizable name bar pendant.,42,15,,,,
662ff46f4c6fc5e1e2f63923,Boho Suede Choker,Bohemian-style suede choker necklace with a rustic vibe.,28,18,,,,
662ff46f4c6fc5e1e2f63924,Artisanal Wood Earrings,Handcrafted wooden earrings with a natural finish.,35,20,,,,
662ff46f4c6fc5e1e2f63925,Boho Feather Hair Clip,Bohemian-style hair clip adorned with feathers and beads.,20,22,,,,
662ff46f4c6fc5e1e2f63926,Crystal Cluster Ring,Ring featuring a cluster of crystals for a glamorous look.,38,15,,,,
662ff46f4c6fc5e1e2f63927,Boho Beaded Necklace,Bohemian-style necklace adorned with colorful beads.,40,18,,,,
662ff46f4c6fc5e1e2f63928,Vintage Locket Necklace,Vintage-style locket necklace perfect for keeping loved ones close.,50,12,,,,
662ff46f4c6fc5e1e2f63929,Artisanal Silver Cuff Bracelet,Handcrafted silver cuff bracelet with a hammered texture.,55,20,,,,
662ff46f4c6fc5e1e2f6392a,Boho Beaded Hoop Earrings,Bohemian-style hoop earrings adorned with beads.,30,25,,,,
662ff46f4c6fc5e1e2f6392b,Layered Chain Anklet,Anklet featuring multiple layers of delicate chains.,25,20,,,,
662ff46f4c6fc5e1e2f6392c,Enamel Butterfly Brooch,Colorful enamel butterfly brooch with intricate details.,28,18,,,,
662ff46f4c6fc5e1e2f6392d,Minimalist Pearl Stud Earrings,Simple pearl stud earrings for a classic look.,22,30,,,,
662ff46f4c6fc5e1e2f6392e,Boho Wrap Bracelet,Bohemian-style wrap bracelet with leather and beads.,35,20,,,,
662ff46f4c6fc5e1e2f63904,HandcraftedSilverNecklace,Beautiful handcrafted silver necklace with intricate design.,50,10,,,,
662ffdec4c6fc5e1e2f6393a,Tuta,Beautiful handcrafted silver necklace with intricate design.,50,10,,,,
663019f4639cfc3e995e58c2,,,,,John,30,2024-04-29T22:06:44.220Z,0
66301a0e639cfc3e995e58c5,,,,,bassem,70,2024-04-29T22:07:10.598Z,0
6630b3434ef414b5d3346961,,,,,tjouta,,,0
663199aa4f748bcbf2a03fae,,,,,,,,0
6631f66ea32d39fcd74596e6,,,,,jolie Bracelet,,,0
663201b1396cc1cb3859d204,,,,,lara,,,0
6632023720fc13c8025cabc5,,,,,roro,50000,,0
6632028920fc13c8025cabc7,,,,,popo,50000,,0
663206c2c401e54824f8908c,,,,,popo,30000,,0
